Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:02,  1.20it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.28it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.30it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.64it/s]
{"example_id": 0, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 57, "huginn_relative_fixed_point_residuals": {"0": 3.329792022705078, "8": 0.07590077817440033, "16": 0.004702582024037838, "32": 0.00014205374463927, "64": 7.624404679518193e-05}, "jump_relative_fixed_point_residual": 0.6701447367668152, "jump_answer_token_cross_entropy": 2.8515281677246094, "jump_first_answer_token_cross_entropy": 5.975994110107422, "jump_answer_tokens_correct": 20, "jump_first_answer_token_correct": false}
{"example_id": 1, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 45, "huginn_relative_fixed_point_residuals": {"0": 3.321733236312866, "8": 0.06741190701723099, "16": 0.004500173963606358, "32": 0.0001087519631255418, "64": 7.603573612868786e-05}, "jump_relative_fixed_point_residual": 0.708801805973053, "jump_answer_token_cross_entropy": 2.7201197147369385, "jump_first_answer_token_cross_entropy": 4.9434309005737305, "jump_answer_tokens_correct": 23, "jump_first_answer_token_correct": false}
{"example_id": 2, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 209, "huginn_relative_fixed_point_residuals": {"0": 3.3373801708221436, "8": 0.07771863788366318, "16": 0.005068286322057247, "32": 0.00014316712622530758, "64": 8.74101824592799e-05}, "jump_relative_fixed_point_residual": 0.6119962930679321, "jump_answer_token_cross_entropy": 1.8965952396392822, "jump_first_answer_token_cross_entropy": 1.620805263519287, "jump_answer_tokens_correct": 112, "jump_first_answer_token_correct": true}
{"example_id": 3, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 45, "huginn_relative_fixed_point_residuals": {"0": 3.312553882598877, "8": 0.056130047887563705, "16": 0.003252130001783371, "32": 9.373352804686874e-05, "64": 7.575070776510984e-05}, "jump_relative_fixed_point_residual": 0.6373955011367798, "jump_answer_token_cross_entropy": 2.5823981761932373, "jump_first_answer_token_cross_entropy": 2.978452205657959, "jump_answer_tokens_correct": 15, "jump_first_answer_token_correct": false}
{"example_id": 4, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 104, "huginn_relative_fixed_point_residuals": {"0": 3.3408026695251465, "8": 0.07315439730882645, "16": 0.004508602432906628, "32": 0.0001344122865702957, "64": 8.621334563940763e-05}, "jump_relative_fixed_point_residual": 0.6902772188186646, "jump_answer_token_cross_entropy": 3.0636837482452393, "jump_first_answer_token_cross_entropy": 2.57706618309021, "jump_answer_tokens_correct": 37, "jump_first_answer_token_correct": false}
{"example_id": 5, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 168, "huginn_relative_fixed_point_residuals": {"0": 3.3386199474334717, "8": 0.07996249943971634, "16": 0.005703706294298172, "32": 0.0001498219498898834, "64": 8.290063124150038e-05}, "jump_relative_fixed_point_residual": 0.687664270401001, "jump_answer_token_cross_entropy": 3.2474799156188965, "jump_first_answer_token_cross_entropy": 1.7880003452301025, "jump_answer_tokens_correct": 56, "jump_first_answer_token_correct": true}
{"example_id": 6, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 109, "huginn_relative_fixed_point_residuals": {"0": 3.341797351837158, "8": 0.08243101835250854, "16": 0.005957447458058596, "32": 0.00015253302990458906, "64": 8.933251956477761e-05}, "jump_relative_fixed_point_residual": 0.6618446707725525, "jump_answer_token_cross_entropy": 3.1634647846221924, "jump_first_answer_token_cross_entropy": 3.196260929107666, "jump_answer_tokens_correct": 37, "jump_first_answer_token_correct": false}
{"example_id": 7, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 184, "huginn_relative_fixed_point_residuals": {"0": 3.363178253173828, "8": 0.0932392030954361, "16": 0.008347585797309875, "32": 0.00044138889643363655, "64": 0.00030866177985444665}, "jump_relative_fixed_point_residual": 0.6840356588363647, "jump_answer_token_cross_entropy": 3.270644426345825, "jump_first_answer_token_cross_entropy": 2.934096336364746, "jump_answer_tokens_correct": 78, "jump_first_answer_token_correct": false}
{"example_id": 8, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 193, "huginn_relative_fixed_point_residuals": {"0": 3.334467887878418, "8": 0.08281631022691727, "16": 0.005277977325022221, "32": 0.00012303708354011178, "64": 8.478137169731781e-05}, "jump_relative_fixed_point_residual": 0.6377053260803223, "jump_answer_token_cross_entropy": 2.662014961242676, "jump_first_answer_token_cross_entropy": 5.459085464477539, "jump_answer_tokens_correct": 71, "jump_first_answer_token_correct": false}
{"example_id": 9, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 162, "huginn_relative_fixed_point_residuals": {"0": 3.3384041786193848, "8": 0.0763440728187561, "16": 0.0047307088971138, "32": 0.00010630426550051197, "64": 8.204329060390592e-05}, "jump_relative_fixed_point_residual": 0.6588767170906067, "jump_answer_token_cross_entropy": 2.4900166988372803, "jump_first_answer_token_cross_entropy": 6.2007222175598145, "jump_answer_tokens_correct": 72, "jump_first_answer_token_correct": false}
{"example_id": 10, "source_checkpoint_sha256": "d72e6797ab5a67735af294c46395fb420efe6a3ceed28189e0760f7d7d5c6e90", "protocol_binding_sha256": "4ae8544c88e33f2ee54db4d1104a36d79be6c844a58d510f0a738b6424297f4a", "answer_tokens": 188, "huginn_relative_fixed_point_residuals": {"0": 3.3656413555145264, "8": 0.0844736397266388, "16": 0.0056881289929151535, "32": 0.00013375142589211464, "64": 8.679837628733367e-05}, "jump_relative_fixed_point_residual": 0.6452047228813171, "jump_answer_token_cross_entropy": 2.472499132156372, "jump_first_answer_token_cross_entropy": 1.7935400009155273, "jump_answer_tokens_correct": 78, "jump_first_answer_token_correct": true}
